,period_end,dni
290,2023-04-10T02:00:00Z,770
291,2023-04-10T01:30:00Z,944
292,2023-04-10T01:00:00Z,961
293,2023-04-10T00:30:00Z,949
294,2023-04-10,934
295,2023-04-09T23:30:00Z,913
296,2023-04-09T23:00:00Z,882
297,2023-04-09T22:30:00Z,835
298,2023-04-09T22:00:00Z,767
299,2023-04-09T21:30:00Z,659
300,2023-04-09T21:00:00Z,437
301,2023-04-09T20:30:00Z,30
302,2023-04-09T20:00:00Z,0
303,2023-04-09T19:30:00Z,0
304,2023-04-09T19:00:00Z,0
305,2023-04-09T18:30:00Z,0
306,2023-04-09T18:00:00Z,0
307,2023-04-09T17:30:00Z,0
308,2023-04-09T17:00:00Z,0
309,2023-04-09T16:30:00Z,0
310,2023-04-09T16:00:00Z,0
311,2023-04-09T15:30:00Z,0
312,2023-04-09T15:00:00Z,0
313,2023-04-09T14:30:00Z,0
314,2023-04-09T14:00:00Z,0
315,2023-04-09T13:30:00Z,0
316,2023-04-09T13:00:00Z,0
317,2023-04-09T12:30:00Z,0
318,2023-04-09T12:00:00Z,0
319,2023-04-09T11:30:00Z,0
320,2023-04-09T11:00:00Z,0
321,2023-04-09T10:30:00Z,0
322,2023-04-09T10:00:00Z,0
323,2023-04-09T09:30:00Z,0
324,2023-04-09T09:00:00Z,0
325,2023-04-09T08:30:00Z,0
326,2023-04-09T08:00:00Z,4
327,2023-04-09T07:30:00Z,264
328,2023-04-09T07:00:00Z,513
329,2023-04-09T06:30:00Z,659
330,2023-04-09T06:00:00Z,762
331,2023-04-09T05:30:00Z,824
332,2023-04-09T05:00:00Z,866
333,2023-04-09T04:30:00Z,894
334,2023-04-09T04:00:00Z,917
335,2023-04-09T03:30:00Z,935
336,2023-04-09T03:00:00Z,946
337,2023-04-16T03:00:00Z,0
338,2023-04-16T03:30:00Z,115
339,2023-04-16T04:00:00Z,78
340,2023-04-16T04:30:00Z,0
341,2023-04-16T05:00:00Z,0
342,2023-04-16T05:30:00Z,0
343,2023-04-16T06:00:00Z,0
344,2023-04-16T06:30:00Z,26
345,2023-04-16T07:00:00Z,12
346,2023-04-16T07:30:00Z,0
347,2023-04-16T08:00:00Z,0
348,2023-04-16T08:30:00Z,0
349,2023-04-16T09:00:00Z,0
350,2023-04-16T09:30:00Z,0
351,2023-04-16T10:00:00Z,0
352,2023-04-16T10:30:00Z,0
353,2023-04-16T11:00:00Z,0
354,2023-04-16T11:30:00Z,0
355,2023-04-16T12:00:00Z,0
